|Year|Brand|Company|Date|ProductDescription|Reason|Url|
|2023|Dakota Tom&#x2019;s|Dakota Tom&#x2019;s Sandwiches|10/18/2024|Pepperjack Cheeseburger, Bacon Cheeseburger and The Gambler|Food &#x26; Beverages, Foodborne Illness|Potential Foodborne Illness - Listeria monocytogenes|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/dakota-toms-sandwiches-recalls-pepperjack-cheeseburger-bacon-cheeseburger-and-gambler-because|
|2023|Medtronic|Medtronic plc|10/18/2024|MiniMed&#x2122; 600 series or 700 series insulin pumps|Medical Devices|Device &#x26; Drug Safety - Defect|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/voluntary-recall-notifying-medtronic-insulin-pump-users-potential-risks-shortened-pump-battery-life|
|2023|Multiple brand names|Church Brothers, LLC|10/18/2024|Green Onions|Food &#x26; Beverages, Foodborne Illness|Salmonella|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/church-brothers-farms-recall-green-onions-due-possible-health-risk|
|2023|Multiple brand names|TreeHouse Foods, Inc.|10/18/2024|Frozen Waffle Products|Food &#x26; Beverages, Foodborne Illness|Potential Foodborne Illness &#x2013; Listeria monocytogenes|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/treehouse-foods-announces-voluntary-recall-certain-waffle-products-due-potential-listeria|
|2023|AK Forte|C&#x26;A Naturistics|10/16/2024|AK Forte Dietary Supplement|Drugs|Device &#x26; Drug Safety &#x2013; Unapproved Drug|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/ca-naturistics-issues-voluntary-nationwide-recall-ak-forte-tablets-con-ortiga-y-omega-3-due-presence|
|2023|STASKA Pharmaceuticals|STASKA Pharmaceuticals Inc.|10/16/2024|Ascorbic Acid Solution for Injection|Drugs|Device &#x26; Drug Safety &#x2013; Presence of glass particulates|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/staska-pharmaceuticals-inc-issues-voluntary-nationwide-recall-ascorbic-acid-solution-injection|
|2023|Enoki King|Enoki King Mushroom Farm|10/11/2024|Enoki Mushroom 5.3 oz|Food &#x26; Beverages, Foodborne Illness|Potential Listeria monocytogenes contamination|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/enoki-king-mushroom-farm-recalls-enoki-because-possible-health-risk|
|2023|Bistro 28, Don Pancho|Reser&#x2019;s Fine Foods|10/11/2024|Meal kits containing chicken|Food &#x26; Beverages, Foodborne Illness|Potential Listeria monocytogenes contamination|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/resers-fine-foods-announces-voluntary-recall-limited-number-meal-kits-due-recalled-chicken|
|2023|Los Andes Foods|Tipical Latin Food Corp.|10/11/2024|Cachapa de Maiz sweet corn pancakes|Food &#x26; Beverages, Allergens|Potential or Undeclared Allergen - Wheat|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/tipical-latin-food-corp-issues-allergy-alert-undeclared-wheat-cachapa-de-maiz|
|2023|Shirakiku|Wismettac Asian Foods, Inc.|10/11/2024|Korean Seasoned Seaweed|Food &#x26; Beverages|Potential or Undeclared Allergen - Sesame|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/wismettac-asian-foods-issues-allergy-alert-undeclared-sesame-seasoned-seaweed|
|2023|Philips Respironics|Philips Respironics, Inc.|10/07/2024|Trilogy Evo, Trilogy Evo O2, Trilogy Evo Universal, and Trilogy EV300 ventilators|Medical Devices|The use of in-line nebulizers placed in certain locations may lead to aerosol deposits forming over time on the ventilator flow sensor. Should this occur, there is a possibility of inaccurate flow measurements affecting therapy.|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/philips-respironics-issues-additional-usage-instructions-trilogy-evo-ventilators-related-use-line|
|2023|Happy Moose|Youngtown Grape Distributors Inc|10/07/2024|Tropical Roots and Strawberry Fields, 12 oz bottles|Food &#x26; Beverages, Foodborne Illness, Juice|Potential Foodborne Illness|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/youngstown-grape-distributors-inc-recalls-happy-moose-juice-tropical-roots-and-happy-moose|
|2023|L&#x26;B|Lunds &#x26; Byerlys|10/04/2024|Lone Star Dip|Food &#x26; Beverages, Foodborne Illness|Potential mold contamination|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/lunds-byerlys-voluntarily-recalls-lb-lone-star-dip-due-potential-mold|
|2023|Jack &#x26; the Green Sprouts|Jack and the Green Sprouts, Inc.|10/04/2024|Alfalfa and Alfalfa &#x26; Onion Sprouts|Food &#x26; Beverages, Foodborne Illness|Listeria monocytogenes|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/jacks-and-green-sprouts-recalls-alfalfa-and-alfalfa-onion-sprouts-because-possible-health-risk|
|2023|Hammond&#x2019;s|Hammond&#x2019;s Candies|10/03/2024|Dark Chocolate Filled Mini Waffle Cones|Food &#x26; Beverages, Allergens|Undeclared Milk|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/hammonds-candies-issues-allergy-alert-undeclared-milk-hammonds-dark-chocolate-filled-mini-waffle|
|2023|Grabeez|Tropical Nut &#x26; Fruit d.b.a. Truly Good Foods|09/25/2024|Trail Mix with peanuts, pretzels, and crackers.|Food &#x26; Beverages, Allergens|Undeclared Almonds and Cashews|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/truly-good-foods-issues-allergy-alert-undeclared-almonds-and-cashews-grabeez-big-cheese-snack-mix|
|2023|ANSWERS|Lystn, LLC. d.b.a. ANSWERS|09/23/2024|Beef and Chicken Dog Foods|Animal &#x26; Veterinary, Foodborne Illness, Pet Food, Food &#x26; Beverages, Foodborne Illness, Pet Food|Due to Potential Salmonella and Listeria|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/answers-pet-food-voluntarily-withdrawals-certain-limited-lots-beef-and-chicken-dog-foods-due|
|2023|Gilead|Gilead Sciences, Inc.|09/23/2024|Veklury &#x28;remdesivir&#x29; for Injection|Drugs|Due to Presence of Glass Particle|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/gilead-issues-voluntary-nationwide-recall-one-lot-veklury-remdesivir-injection-100-mgvial-due|
|2023|Bacalaitos Criollos|Avole, Inc.|09/23/2024|Codfish Frying Mix|Food &#x26; Beverages, Allergens|Potential or Undeclared Allergen &#x2013; Fish|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/avole-inc-emite-aviso-de-retiro-del-mercado-su-producto-bacalaitos-criollos-mezcla-para-freir|
|2023|Lactaid|HP Hood LLC|09/20/2024|Lactaid 96 oz milk carton varieties|Food &#x26; Beverages, Allergens, Milk&#x2f;Milk Product|Potential or Undeclared Allergen &#x2013; Tree Nuts &#x28;almond&#x29;|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/hp-hood-llc-recalls-select-units-96-oz-refrigerated-lactaid-milk-due-possible-almond-allergen|
|2023|a-1 On the Go|Grace Imports, LLC|09/20/2024|Kara Boondhi, Kerala Mixture, and Spicy Murukku snack products|Food &#x26; Beverages, Allergens|Potential or Undeclared Allergen &#x2013; Wheat|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/grace-imports-llc-issues-allergy-alert-undeclared-wheat-kara-boondh-kerala-mixture-and-spicy-murukku|
|2023|Vail-Bon|123herbals|09/20/2024|Vail-Bon Jie Yang Wan|Dietary Supplements|Product is tainted with dexamethasone and chlorpheniramine|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/123herbals-llc-123herbalscom-issues-voluntary-nationwide-recall-vail-bon-jie-yang-wan-capsules-due|
|2023|Bacalaitos Criollos|Avole, Inc.|09/20/2024|Codfish Frying Mix|Food &#x26; Beverages, Allergens|Potential or Undeclared Allergen &#x2013; Fish|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/avole-inc-issues-allergy-alert-undeclared-fish-bacalaitos-criollos-codfish-mix|
|2023|Enjoy Premium|KTM Services Inc|09/19/2024|Coconut and Taro Cookies|Food &#x26; Beverages, Allergens|Undeclared milk allergen|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/ktm-services-inc-issues-allergy-alert-undeclared-milk-cookies|
|2023|dynacare|Dynarex Corporation|09/19/2024|Baby Powder|Cosmetics|Potential Metal or Chemical Contaminant|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/dynarex-corporation-recalls-product-due-possible-health-risk|
|2023|BionPharma|Bionpharma Inc.|09/18/2024|Atovaquone Oral Suspension, 750 mg&#x2f;mL|Drugs|Product found to be contaminated with Cohnella bacteria|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/bionpharma-inc-issues-voluntary-nationwide-recall-atovaquone-oral-suspension-due-bacterial|
|2023|7-Eleven|Innovation Bakers, LLC|09/11/2024|Fudge Brownie|Food &#x26; Beverages, Allergens|Undeclared walnuts|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/innovation-bakers-llc-issues-allergy-alert-undeclared-walnut-7-eleven-fudge-brownie-distributed|
|2023|Hammond&#x2019;s|Hammond&#x2019;s Candies|09/06/2024|Dark Chocolate Filled Mini Waffle Cones|Food &#x26; Beverages, Allergens|Undeclared Milk|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/hammonds-candies-issues-allergy-alert-undeclared-milk-hammonds-dark-chocolate-filled-mini-waffle|
|2023|Kandy|Eagle Produce LLC|09/06/2024|Whole Cantaloupe|Food &#x26; Beverages, Foodborne Illness, Fruit&#x2f;Fruit Product|Potential to be contaminated with Salmonella|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/eagle-produce-llc-recalls-whole-cantaloupe-because-possible-health-risk-0|
|2023|Milo&#x2019;s Poultry Farms &#x26; Tony&#x2019;s Fresh Market|Milo&#x2019;s Poultry Farms, LLC|09/06/2024|Eggs|Food &#x26; Beverages, Foodborne Illness, Egg&#x2f;Egg Product|Potential to be contaminated with Salmonella|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/milos-poultry-farms-llc-recalls-eggs-because-possible-health-risk|
|2023|Niitakaya|Niitakaya USA Inc.|09/05/2024|Shiso Katsuo Ninniku &#x26; Miso Katsuo Ninniku|Food &#x26; Beverages, Allergens|Undeclared Fish &#x28;Bonito&#x29;|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/niitakaya-usa-inc-issues-allergy-alert-undeclared-allergen-fish-bonito-3700-shiso-katsuo-ninniku3701|
|2023|Bivona|Smiths Medical|09/04/2024|Bivona&#xae; Aire-Cuf&#xae;, TTS&#x2122;, Uncuffed, Mid-Range Neonatal&#x2f;Pediatric Tracheostomy Tube&#x28;s&#x29; and Bivona Aire-Cuf&#xae;, TTS&#x2122;, Cuffless FlexTend&#x2122;, TTS&#x2122; FlexTend&#x2122; Adult Tracheostomy Tube&#x28;s&#x29;|Medical Devices|The securement flange of specific lots of the Bivona Neonatal&#x2f;Pediatric and Adult Tracheostomy products may tear because of a manufacturing defect.|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/smiths-medical-issues-urgent-medical-device-notification-informing-customers-potential-issue-certain|
|2023|Asli Fine Foods|Asli Fine Foods|08/30/2024|Cinnamon powder|Food &#x26; Beverages|Contains Lead|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/asli-fine-foods-recalls-asli-cinnamon-powder-7-oz-because-possible-health-risk|
|2023|M&#x26;P Food Productio. Ltd.|M&#x26;P Food Productio. Ltd.|08/29/2024|Blintzes, pirozhki, and vareniki|Food &#x26; Beverages, Allergens|Undeclared wheat and milk|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/mp-food-production-issues-allergy-alert-undeclared-wheat-and-milk-vareniki-pirozhki-and-blintzes|
|2023|terrafina|Sunco &#x26; Frenchie LLC|08/26/2024|Golden Raisins|Food &#x26; Beverages, Allergens|Undeclared Allergen-Undeclared Sulfites|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/sunco-frenchie-issues-allergy-alert-undeclared-sulfites-golden-raisins|
|2023|Bloodline|Sierra Stain LLC|08/24/2024|Water Based Tattoo Pigments|Cosmetics|Contaminated with high concentrations of microorganisms|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/sierra-stain-recalls-tattoo-pigments-because-possible-health-risk|
|2023|Bliss Tree|Sri Lakshmi Narasimhar Overseas LLC|08/23/2024|Butter Snacks|Food &#x26; Beverages, Allergens|Undeclared Allergen-Undeclared milk, sesame|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/sri-lakshmi-narasimhar-overseas-llc-issues-allergy-alert-undeclared-milk-and-sesame-seeds-bliss-tree|
|2023|El Servidor Corp|Gutierrez Distributors, LLC|08/23/2024|Ground cinnamon|Food &#x26; Beverages|Elevated lead|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/gutierrez-distributor-expands-recall-ground-cinnamon-because-possible-health-risk|
|2023|Montreal Fudge|Authentik Fudge|08/22/2024|Chocolate Fudge with Nuts|Food &#x26; Beverages, Foodborne Illness|Potential mold growth contamination|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/authentik-fudge-recalls-fudge-nuts-because-potential-mold-growth|
|2023|Popsicle|Unilever US|08/21/2024|Jolly Rancher Green Apple, Blue Raspberry, Grape Frozen Confection Pop|Food &#x26; Beverages, Allergens|Undeclared milk|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/unilever-us-issues-allergy-alert-undeclared-milk-popsicle-jolly-rancher-singleserve-frozen|
|2023|No Brand Name|Veata LLC|08/21/2024|Endurance Pro Energy Boost Capsules|Dietary Supplements|Product is tainted with sildenafil.|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/veata-llc-issues-voluntary-nationwide-recall-endurance-pro-capsules-due-potential-presence|
|2023|No Brand Name|Boulla LLC|08/21/2024|Boom Max|Dietary Supplements|Product is tainted with sildenafil.|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/boulla-llc-issues-voluntary-nationwide-recall-boom-max-capsules-due-potential-presence-undeclared|
|2023|Emerald|Flagstone Foods, LLC|08/20/2024|Emerald Kettle Glazed Walnuts|Food &#x26; Beverages, Allergens|Undeclared peanuts, almonds, pecans|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/flagstone-foods-llc-allergy-alert-undeclared-peanuts-almonds-and-pecan-emerald-kettle-glazed-walnuts|
|2023|El Servidor Corp|Gutierrez Distributor|08/19/2024|Ground cinnamon|Food &#x26; Beverages, Contaminants, Spices, Flavors&#xa0;&#x26; &#xa0;Salts|Potentially contaminated with elevated levels of lead.|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/gutierrez-distributor-recalls-el-servidor-corp-ground-cinnamon-because-possible-health-risk|
|2023|El Chilar|El Chilar HF, LLC.|08/13/2024|&#x201c;Canela Molida&#x201d; Ground Cinnamon|Food &#x26; Beverages, Spices, Flavors&#xa0;&#x26; &#xa0;Salts|Due to Elevated Levels of Lead|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/el-chilar-hf-llc-expands-recall-el-chilar-ground-cinnamon-due-elevated-levels-lead|
|2023|Tandem|Tandem Diabetes Care, Inc.|08/12/2024|T&#x3a;Connect Mobile App for iOS Devices|Medical Devices|Rapid Depletion of a User&#x2019;s t&#x3a;slim X2 Insulin Pump Battery|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/tandem-diabetes-care-provides-update-march-2024-nationwide-recall-tconnect-mobile-app-ios-devices|
|2023|Breas|Breas Medical|08/09/2024|Vivo 45 LS &#x28;US Version&#x29; Ventilator|Medical Devices|Potential for short term elevated levels of formaldehyde exposure|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/breas-medical-issues-voluntary-us-nationwide-urgent-medical-device-correction-in-vivo-45-ls-ventilator|
|2023|Meijer|Too Good Gourmet|08/09/2024|Dunking Cookies Chocolate Chip|Food &#x26; Beverages, Allergens|Undeclared milk|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/too-good-gourmet-issues-allergy-alert-undeclared-milk-meijer-dunking-cookies-chocolate-chip-10oz|
|2023|Prime Foods|Prime Foods Processing LLC|08/09/2024|Steam Buns with Egg Custard Added &#x26; Steam Buns with Egg Custard and Coconut Added|Food &#x26; Beverages, Allergens|Undeclared sesame|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/prime-food-processing-llc-issues-allergy-alert-undeclared-sesame-steam-buns-egg-custard-added-and|
|2023|B Braun|B. Braun Medical Inc.|08/08/2024|0.9&#x25; Sodium Chloride for Injection USP 1000 mL in E3 containers|Drugs|Potential for particulate matter and fluid leakage of the containers|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/b-braun-issues-voluntary-nationwide-recall-09-sodium-chloride-injection-usp-1000-ml-e3-containers|
|2023|North Fish Inc.|North Fish USA INC|08/08/2024|Cold Smoked Capelin|Food &#x26; Beverages, Foodborne Illness|Potential to be contaminated with Clostridium botulinum|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/north-fish-usa-inc-recalls-cold-smoked-capelin-because-possible-health-risk|
|2023|CVS Health, H-E-B Baby|Perrigo Company plc|08/08/2024|Premium Infant Formula with Iron Milk-Based Powder|Food &#x26; Beverages, Infant Formula &#x26; Foods|Product contains levels of Vitamin D above the maximum level permitted|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/perrigo-issues-voluntary-recall-one-batch-premium-infant-formula-iron-milk-based-powder-due-elevated|
|2023|Yummy|Yummy Foods|08/07/2024|Yummy Swirly Ices, various flavors|Food &#x26; Beverages, Allergens|Undeclared Milk Allergen|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/yummy-foods-issues-allergy-alert-traces-milk-allergen-non-dairy-ices|
|2023|Baxter|Baxter International Inc|08/06/2024|Heparin Sodium in 0.9&#x25; Sodium Chloride Injection|Drugs|Elevated endotoxin levels|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/baxter-issues-voluntary-nationwide-recall-one-lot-heparin-sodium-09-sodium-chloride-injection-due|
|2023|Full Circle Market|G.S. Gelato &#x26; Desserts, Inc.|08/06/2024|Coconutmilk Chocolate Almond Crunch Frozen Dessert|Food &#x26; Beverages|Undeclared Cashew Allergen|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/urgent-food-recall-full-circle-market-coconutmilk-chocolate-almond-crunch-non-dairy-frozen-dessert|
|2023|Bikano|Thal Golden Spices Inc.|08/04/2024|Moong Dal, Crunchy Green Gram|Food &#x26; Beverages|Potential Contamination with Salmonella|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/thal-golden-spices-inc-recalls-product-because-possible-health-risk|
|2023|Lunds &#x26; Byerlys|Metro Produce Distributors Inc.|08/02/2024|fresh guacamole products|Food &#x26; Beverages|Potential Listeria monocytogenes contamination|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/metro-produce-distributors-inc-recalls-fresh-guacamole-because-possible-health-risk|
|2023|Marabou|BONBON - A SWEDISH CANDY CO.|08/02/2024|Sea Salt chocolate bar|Food &#x26; Beverages|Undeclared Allergen-Undeclared Almond, Wheat and nuts|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/bonbon-swedish-candy-co-issues-allergy-alert-undeclared-almonds-wheat-and-nuts-marabou-sea-salt-200g|
|2023|Abbott|Abbott|07/31/2024|FreeStyle Libre&#xae; 3 sensors|Medical Devices|Sensors may provide incorrect high glucose readings|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/abbott-issues-voluntary-medical-device-correction-small-number-freestyle-librer-3-sensors-us|
|2023|Marcum &#x26; Supreme Tradition|Colonna Brothers Inc.|07/31/2024|Ground cinnamon|Food &#x26; Beverages, Contaminants, Spices, Flavors&#xa0;&#x26; &#xa0;Salts|Potential Metal Contaminant - Lead|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/colonna-brothers-inc-issues-updated-voluntary-recall-15oz-marcum-ground-cinnamon-225oz-supreme|
|2023|Van Leeuwen|Van Leeuwen Ice Cream|07/30/2024|Vegan Pumpkin Cinnamon Roll Non Dairy Frozen Dessert|Food &#x26; Beverages|Undeclared Peanut Allergen|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/van-leeuwen-ice-cream-issues-allergy-alert-undeclared-peanuts-vegan-pumpkin-cinnamon-roll-non-dairy|
|2023|Shahzada|Advance Food International, Inc.|07/29/2024|Cinnamon Powder|Food &#x26; Beverages, Contaminants, Spices, Flavors&#xa0;&#x26; &#xa0;Salts|Potential Metal Contaminant - Lead|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/advance-food-international-inc-recalls-shahzada-brand-cinnamon-powder-7oz-because-possible-health|
|2023|Spice Class|American Spices, LLC|07/29/2024|Ground Cinnamon|Food &#x26; Beverages, Contaminants, Spices, Flavors&#xa0;&#x26; &#xa0;Salts|Potential Metal Contaminant - Lead|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/american-spices-llc-recalls-spice-class-ground-cinnamon-because-possible-health-risk|
|2023|ALB Flavor|ALB-USA ENTERPRISES|07/26/2024|Ground Cinnamon Powder|Food &#x26; Beverages, Contaminants|Potential Metal Contaminant - Lead|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/alb-usa-enterprises-recalls-alb-flavor-ground-cinnamon-because-possible-health-risk|
|2023|Supreme Produce|Supreme Service Solutions LLC|07/26/2024|Vegetable products|Food &#x26; Beverages, Foodborne Illness, Produce|Potential Foodborne Illness &#x2013; Listeria monocytogenes|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/supreme-service-solutions-llc-voluntarily-recalls-supreme-vegetable-products-because-possible-health|
|2023|Snowfruit|JFE Franchising, Inc.|07/26/2024|Variety of vegetables and pepper mixes|Food &#x26; Beverages, Foodborne Illness|Potential Foodborne Illness &#x2013; Listeria monocytogenes|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/jfe-franchising-inc-recalls-limited-number-products-because-possible-health-risk|
|2023|Freshire Farms|ALDI|07/26/2024|Jalapenos, Green Peppers, Green Beans|Food &#x26; Beverages, Foodborne Illness, Produce|Potential Foodborne Illness &#x2013; Listeria monocytogenes|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/association-wiers-farm-inc-and-rs-hanline-co-inc-aldi-recalls-jalapenos-green-peppers-and-green|
|2023|Kenny&#x2019;s Farmhouse Cheese|Kenny&#x2019;s Farmhouse Cheese|07/24/2024|St. Jerome cheese|Food &#x26; Beverages|Potential Foodborne Illness - Listeria monocytogenes|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/kennys-farmhouse-cheese-recalls-st-jerome-cheese-lot-231129-because-possible-health-risk|
|2023|Healthy Living|Aurobindo Pharma USA, Inc.|07/24/2024|Migraine Relief Acetaminophen 250mg, Aspirin &#x28;NSAID&#x29; 250mg &#x26; Caffeine 65mg tablets|Drugs|Device &#x26; Drug Safety - Mislabeling|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/aurobindo-pharma-usa-inc-behalf-aurohealth-issues-voluntary-nationwide-recall-one-1-lot-healthy|
|2023|Wiers Farm, Freshire Farms|Wiers Farm, Inc.|07/23/2024|Vegetables and Bagged Salads|Food &#x26; Beverages, Foodborne Illness, Vegetable Products|Potential Foodborne Illness &#x2013; Listeria monocytogenes|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/wiers-farm-inc-expands-voluntary-recall-whole-and-salad-cucumbers-due-possible-contamination|
|2023|Umary|Main Products, Inc.|07/22/2024|Umary Acido Hialuronico, Suplemento Alimenticio|Drugs|Undeclared Drug Ingredients&#x3a; Diclofenac and Omeprazole|https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/main-products-inc-issues-voluntary-nationwide-recall-umary-acido-hialuronico-suplemento-alimenticio|
